model,link,cost
Apple iPhone 12 Mini 64GB / Vermelho / Grau C Mais,https://www.ioutletstore.pt/shop/iphones/iphone-12-mini/apple-iphone-12-mini-64gb-vermelho-grau-c-mais-2/,"580,13€"
Apple iPhone 11 Pro Max 64GB / Dourado / Grau C Mais,https://www.ioutletstore.pt/shop/iphones/iphone-11-pro-max/apple-iphone-11-pro-max-64gb-dourado-grau-c-mais/,"714,71€"
Apple iPhone SE 64GB / Cinzento / Grau B,https://www.ioutletstore.pt/shop/iphones/iphone-se/apple-iphone-se-64gb-cinzento-grau-b-3/,"159,71€"
Apple iPhone SE 32GB / Rosa Dourado / Grau C,https://www.ioutletstore.pt/shop/iphones/iphone-se/apple-iphone-se-32gb-rosa-dourado-grau-c/,"137,80€"
Apple iPhone 8 256GB / Vermelho / Grau C Mais,https://www.ioutletstore.pt/shop/iphones/iphone-8-plus/apple-iphone-8-256gb-vermelho-grau-c-mais/,"318,24€"
Apple iPhone 7 Plus 128GB / Preto Brilhante / Grau C Mais,https://www.ioutletstore.pt/shop/iphones/iphone-7-plus/apple-iphone-7-plus-128gb-preto-brilhante-grau-c-mais/,"297,57€"
Apple iPhone 6S 64GB / Prateado / Grau A,https://www.ioutletstore.pt/shop/iphones/iphone-6s/apple-iphone-6s-64gb-prateado-grau-a-2/,"192,40€"
Apple iPhone 6S 16GB / Cinzento / Grau B,https://www.ioutletstore.pt/shop/iphones/iphone-6s/apple-iphone-6s-16gb-cinzento-grau-b-3/,"143,21€"
Apple iPhone 6 64GB / Cinzento / Grau A,https://www.ioutletstore.pt/shop/iphones/iphone6/apple-iphone-6-64gb-cinzento-grau-a/,"174,41€"
Apple iPhone 12 Pro 256GB / Prateado / Grau B,https://www.ioutletstore.pt/shop/iphones/iphone-12-pro/apple-iphone-12-pro-256gb-prateado-grau-b/,"897,13€"
Apple iPhone 12 Pro 128GB / Cinzento / Grau Premium,https://www.ioutletstore.pt/shop/iphones/iphone-12-pro/apple-iphone-12-pro-128gb-cinzento-grau-premium-3/,"974,61€"
Apple iPhone 12 Mini 256GB / Azul / Grau C Mais,https://www.ioutletstore.pt/shop/iphones/iphone-12-mini/apple-iphone-12-mini-256gb-azul-grau-c-mais-2/,"692,90€"
Apple iPhone 12 256GB / Azul / Grau A,https://www.ioutletstore.pt/shop/iphones/iphone-12/apple-iphone-12-256gb-azul-grau-a-2/,"900,72€"
Apple iPhone 12 256GB / Vermelho / Grau A,https://www.ioutletstore.pt/shop/iphones/iphone-12/apple-iphone-12-256gb-vermelho-grau-a/,"900,72€"
Apple iPhone 11 128GB / Amarelo / Grau B,https://www.ioutletstore.pt/shop/iphones/iphone-11/apple-iphone-11-128gb-amarelo-grau-b/,"600,04€"
Apple iPhone 11 Pro 64GB / Verde / Grau Premium,https://www.ioutletstore.pt/shop/iphones/iphone-11-pro/apple-iphone-11-pro-64gb-verde-grau-premium-2/,"897,04€"
Apple iPhone 8 64GB / Dourado / Grau B,https://www.ioutletstore.pt/shop/iphones/iphone-8/apple-iphone-8-64gb-dourado-grau-b-5/,"255,84€"
Apple iPhone 8 64GB / Cinzento / Grau C Mais,https://www.ioutletstore.pt/shop/iphones/iphone-8/apple-iphone-8-64gb-cinzento-grau-c-mais-5/,"260,24€"
Apple iPhone 8 256GB / Dourado / Grau B,https://www.ioutletstore.pt/shop/iphones/iphone-8/apple-iphone-8-256gb-dourado-grau-b-2/,"403,51€"
Apple iPhone 8 128GB / Cinzento / Grau A,https://www.ioutletstore.pt/shop/iphones/iphone-8/apple-iphone-8-128gb-cinzento-grau-a-2/,"444,92€"
Apple Watch SE 40mm GPS Aluminum case / Grau Premium,https://www.ioutletstore.pt/shop/iphones/iphone-se/apple-watch-se-40mm-gps-aluminum-case-grau-premium/,"370,57€"
Apple Watch SE 40mm GPS Aluminum case / Grau A,https://www.ioutletstore.pt/shop/iphones/iphone-se/apple-watch-se-40mm-gps-aluminum-case-grau-a-4/,"350,66€"
Apple iPhone Xs Max 512GB / Prateado / Grau C Mais,https://www.ioutletstore.pt/shop/iphones/iphone-xs-max/apple-iphone-xs-max-512gb-prateado-grau-c-mais/,"531,70€"
Apple iPhone XR 64GB / Vermelho / Grau C Mais,https://www.ioutletstore.pt/shop/iphones/iphone-xr/apple-iphone-xr-64gb-vermelho-grau-c-mais-5/,"344,12€"
Apple iPhone XR 64GB / Vermelho / Grau B,https://www.ioutletstore.pt/shop/iphones/iphone-xr/apple-iphone-xr-64gb-vermelho-grau-b-3/,"340,60€"
Apple iPhone XR 64GB / Branco / Grau C Mais,https://www.ioutletstore.pt/shop/iphones/iphone-xr/apple-iphone-xr-64gb-branco-grau-c-mais-5/,"337,44€"
Apple iPhone XR 64GB / Amarelo / Grau B,https://www.ioutletstore.pt/shop/iphones/iphone-xr/apple-iphone-xr-64gb-amarelo-grau-b/,"439,19€"
Apple iPhone 8 Plus 64GB / Vermelho / Grau C,https://www.ioutletstore.pt/shop/iphones/iphone-8-plus/apple-iphone-8-plus-64gb-vermelho-grau-c-2/,"267,85€"
Apple iPhone 8 Plus 64GB / Prateado / Grau C,https://www.ioutletstore.pt/shop/iphones/iphone-8-plus/apple-iphone-8-plus-64gb-prateado-grau-c/,"265,23€"
Apple iPhone 8 Plus 256GB / Vermelho / Grau C,https://www.ioutletstore.pt/shop/iphones/iphone-8-plus/apple-iphone-8-plus-256gb-vermelho-grau-c/,"357,63€"
Apple iPhone 8 Plus 128GB / Cinzento / Grau A,https://www.ioutletstore.pt/shop/iphones/iphone-8-plus/apple-iphone-8-plus-128gb-cinzento-grau-a-2/,"467,31€"
Apple iPhone 7 Plus 32GB / Prateado / Grau C,https://www.ioutletstore.pt/shop/iphones/iphone-7-plus/apple-iphone-7-plus-32gb-prateado-grau-c/,"243,36€"
Apple iPhone 7 Plus 256GB / Dourado / Grau C,https://www.ioutletstore.pt/shop/iphones/iphone-7-plus/apple-iphone-7-plus-256gb-dourado-grau-c/,"260,72€"
Apple iPhone 7 Plus 256GB / Dourado / Grau A,https://www.ioutletstore.pt/shop/iphones/iphone-7-plus/apple-iphone-7-plus-256gb-dourado-grau-a/,"351,88€"
Apple iPhone 7 32GB / Dourado / Grau A,https://www.ioutletstore.pt/shop/iphones/iphone-7/apple-iphone-7-32gb-dourado-grau-a-3/,"190,14€"
Apple iPhone 7 32GB / Preto / Grau C,https://www.ioutletstore.pt/shop/iphones/iphone-7/apple-iphone-7-32gb-preto-grau-c/,"167,38€"
Apple iPhone 6S Plus 16GB / Cinzento / Grau A,https://www.ioutletstore.pt/shop/iphones/iphone-6s-plus/apple-iphone-6s-plus-16gb-cinzento-grau-a/,"194,32€"
Apple iPhone 6S 32GB / Prateado / Grau C,https://www.ioutletstore.pt/shop/iphones/iphone-6s/apple-iphone-6s-32gb-prateado-grau-c-2/,"147,19€"
Apple iPhone 5S 64GB / Prateado / Grau C,https://www.ioutletstore.pt/shop/iphones/iphone5s/apple-iphone-5s-64gb-prateado-grau-c/,"126,05€"
Apple iPhone 12 Pro Max 128GB / Cinzento / Grau C Mais,https://www.ioutletstore.pt/shop/iphones/iphone-12-pro-max/apple-iphone-12-pro-max-128gb-cinzento-grau-c-mais-3/,"894,15€"
Apple iPhone 12 Pro 128GB / Cinzento / Grau C,https://www.ioutletstore.pt/shop/iphones/iphone-12-pro/apple-iphone-12-pro-128gb-cinzento-grau-c-2/,"707,71€"
Apple iPhone 12 Pro 128GB / Cinzento / Grau A,https://www.ioutletstore.pt/shop/iphones/iphone-12-pro/apple-iphone-12-pro-128gb-cinzento-grau-a-2/,"911,86€"
Apple iPhone 12 Mini 64GB / Branco / Grau Premium,https://www.ioutletstore.pt/shop/iphones/iphone-12-mini/apple-iphone-12-mini-64gb-branco-grau-premium/,"698,88€"
Apple iPhone 12 Mini 128GB / Preto / Grau A,https://www.ioutletstore.pt/shop/iphones/iphone-12-mini/apple-iphone-12-mini-128gb-preto-grau-a-3/,"750,75€"
Apple iPhone 12 128GB / Vermelho / Grau Premium,https://www.ioutletstore.pt/shop/iphones/iphone-12/apple-iphone-12-128gb-vermelho-grau-premium-2/,"884,52€"
Apple iPhone 11 Pro 64GB / Verde / Grau C,https://www.ioutletstore.pt/shop/iphones/iphone-11-pro/apple-iphone-11-pro-64gb-verde-grau-c-5/,"516,10€"
Apple iPhone 11 Pro 64GB / Dourado / Grau C,https://www.ioutletstore.pt/shop/iphones/iphone-11-pro/apple-iphone-11-pro-64gb-dourado-grau-c-4/,"541,91€"
Apple iPhone 11 64GB / Vermelho / Grau C Mais,https://www.ioutletstore.pt/shop/iphones/iphone-11/apple-iphone-11-64gb-vermelho-grau-c-mais-4/,"475,02€"
